date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:20:03	172275/172275	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Sep%202020%2016:20:02%20GMT	https://herfybd.com/menu.ashx	C:/My%20Web%20Sites/naya/herfybd.com/menu.html	(from https://herfybd.com/)
22:20:03	113251/113251	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Sep%202020%2016:20:03%20GMT	https://herfybd.com/menu/burger.ashx	C:/My%20Web%20Sites/naya/herfybd.com/menu/burger.html	(from https://herfybd.com/)
22:20:03	79187/79187	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Sep%202020%2016:20:03%20GMT	https://herfybd.com/menu/chickenitem.ashx	C:/My%20Web%20Sites/naya/herfybd.com/menu/chickenitem.html	(from https://herfybd.com/)
22:20:03	71558/71558	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Sep%202020%2016:20:03%20GMT	https://herfybd.com/menu/kiddiemeal.ashx	C:/My%20Web%20Sites/naya/herfybd.com/menu/kiddiemeal.html	(from https://herfybd.com/)
22:20:04	68090/68090	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Sep%202020%2016:20:03%20GMT	https://herfybd.com/menu/ricesalad.ashx	C:/My%20Web%20Sites/naya/herfybd.com/menu/ricesalad.html	(from https://herfybd.com/)
22:20:04	75386/75386	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Sep%202020%2016:20:04%20GMT	https://herfybd.com/menu/sideswraps.ashx	C:/My%20Web%20Sites/naya/herfybd.com/menu/sideswraps.html	(from https://herfybd.com/)
22:20:05	61167/61167	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Sep%202020%2016:20:04%20GMT	https://herfybd.com/menu/milkshakes.ashx	C:/My%20Web%20Sites/naya/herfybd.com/menu/milkshakes.html	(from https://herfybd.com/)
22:20:06	67964/67964	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Sep%202020%2016:20:05%20GMT	https://herfybd.com/menu/mocktail.ashx	C:/My%20Web%20Sites/naya/herfybd.com/menu/mocktail.html	(from https://herfybd.com/)
22:20:06	69908/69908	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Sep%202020%2016:20:05%20GMT	https://herfybd.com/menu/drinks.ashx	C:/My%20Web%20Sites/naya/herfybd.com/menu/drinks.html	(from https://herfybd.com/)
22:20:06	77795/77795	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Sep%202020%2016:20:06%20GMT	https://herfybd.com/location.ashx	C:/My%20Web%20Sites/naya/herfybd.com/location.html	(from https://herfybd.com/)
22:20:06	68012/68012	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Sep%202020%2016:20:06%20GMT	https://herfybd.com/gulshan.ashx	C:/My%20Web%20Sites/naya/herfybd.com/gulshan.html	(from https://herfybd.com/)
22:20:07	64789/64789	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Sep%202020%2016:20:06%20GMT	https://herfybd.com/banani.ashx	C:/My%20Web%20Sites/naya/herfybd.com/banani.html	(from https://herfybd.com/)
22:20:07	64937/64937	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Sep%202020%2016:20:07%20GMT	https://herfybd.com/uttara.ashx	C:/My%20Web%20Sites/naya/herfybd.com/uttara.html	(from https://herfybd.com/)
22:20:07	73274/73274	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Sep%202020%2016:20:07%20GMT	https://herfybd.com/offer.ashx	C:/My%20Web%20Sites/naya/herfybd.com/offer.html	(from https://herfybd.com/)
22:20:08	122037/122037	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Sep%202020%2016:20:07%20GMT	https://herfybd.com/about.ashx	C:/My%20Web%20Sites/naya/herfybd.com/about.html	(from https://herfybd.com/)
22:20:08	0/0	---MC-	301	error ('Moved%20Permanently')	application/cgi	date:Tue,%2029%20Sep%202020%2016:20:08%20GMT	http://herfybd.com/webmail	C:/My%20Web%20Sites/naya/herfybd.com/webmail.2c.delayed	(from https://herfybd.com/)
22:20:08	77294/77294	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Sep%202020%2016:20:07%20GMT	https://herfybd.com/contact.ashx	C:/My%20Web%20Sites/naya/herfybd.com/contact.html	(from https://herfybd.com/)
22:20:09	16370/16370	---M--	200	added ('OK')	image/gif	date:Thu,%2020%20Dec%202018%2011:16:51%20GMT	https://herfybd.com//assets/image/homedelivery.gif	C:/My%20Web%20Sites/naya/herfybd.com/assets/image/homedelivery.gif	(from https://herfybd.com/)
22:20:09	172369/172369	---M--	200	added ('OK')	image/jpeg	date:Wed,%2019%20Dec%202018%2006:12:58%20GMT	https://herfybd.com/assets/image/background-home-top.jpg	C:/My%20Web%20Sites/naya/herfybd.com/assets/image/background-home-top.jpg	(from https://herfybd.com/)
22:20:11	14484/14484	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Oct%202018%2012:09:40%20GMT	https://herfybd.com/assets/image/burger_illustration_1.png	C:/My%20Web%20Sites/naya/herfybd.com/assets/image/burger_illustration_1.png	(from https://herfybd.com/)
22:20:11	14811/14811	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Dec%202018%2007:03:54%20GMT	https://herfybd.com/assets/image/friedchicken.png	C:/My%20Web%20Sites/naya/herfybd.com/assets/image/friedchicken.png	(from https://herfybd.com/)
